MATST,IME
1196332,A1
1807099,Stelkom
5014018,Telekom
2312972,ARIO
5692229,Telemach
1954598,T-2
1722441,SISTEM-TV
5925649,KaTe Nova Gorica
5970814,SOFTNET d.o.o.
5490553,STUDIO PROTEUS d.o.o.
5883512,Občina Postojna
5883563,Občina Pivka
1846680,KATV Bovške
1511661,KABELSKA TELEVIZIJA RADENCI
5883687,Občina Omrož
2242761,Občina SV. Tomaž
1775499,KRS LENART d.o.o.
1775502,CATV Selnica Ruše d.o.o.
1808869,CATV Radlje - Vuhred d.o.o.
5880351,Občina Dravograd
1358324,Občina Ribnica na Pohorju
1864831,TRITEL d.o.o.
5883954,Občina Mislinija
3345246,KTV Ravne d.o.o.
6625738,KTV Črna d.o.o.
5519845,ANSAT d.o.o.
5874572,Občina Krško
1946501,INTELL d.o.o.
5883008,Občina Sevnica
5874491,Občina Radeče
5559766,ELSTIK d.o.o.
5904072,ZAVOD KKS Kamnik
5882958,Občina Trebnje
2399164,Občina Mirna
2241170,Občina Mokronog - Trebelno
1357816,Občina Mirna peč
1864831,TRITEL d.o.o.
5304784,TELE-TV d.o.o.
1846680,KATV Bovške
1194852,KA-TV Tolmin
5606047,NAKLO d.o.o. Logatec
7118368,INFRATEL d.o.o.
5534534,TELES d.o.o.
7167008,OPTIC-TEL d.o.o.
2162628,DOSTOP KOMUNIKACIJE d.o.o.
5545803,TELESAT d.o.o. Jesenice
